id,price,departureIataCode,departureName,departureIataCodeValidation,flightDate,destinationIataCode,destinationName,destinationRegion,dateInserted,timeInserted,countOfOffers,arrival,carrierCode,numberOfFlight,departureTime,arrivalTime,duration,totalStops
1,166.69,ATH,ATHENS,ATH,28/05/2023,LIS,LISBON,Portugal,28/05/2023,20:57,7,LIS,A3,722,2023-05-28T21:20:00,2023-05-28T23:45:00,PT4H25M,0
2,346.67,ATH,ATHENS,BCN,28/05/2023,LIS,LISBON,Portugal,28/05/2023,20:57,7,LIS,IB,5690,2023-05-28T22:50:00,2023-05-29T08:35:00,PT11H45M,1
3,387.11,ATH,ATHENS,BCN,28/05/2023,LIS,LISBON,Portugal,28/05/2023,20:57,7,LIS,IB,5692,2023-05-28T22:50:00,2023-05-29T20:20:00,PT23H30M,1
4,396.67,ATH,ATHENS,BCN,28/05/2023,LIS,LISBON,Portugal,28/05/2023,20:57,7,LIS,IB,5696,2023-05-28T22:50:00,2023-05-29T13:20:00,PT16H30M,1
5,775.67,ATH,ATHENS,BCN,28/05/2023,LIS,LISBON,Portugal,28/05/2023,20:57,7,LIS,VY,8460,2023-05-28T22:50:00,2023-05-29T08:35:00,PT11H45M,1
6,816.67,ATH,ATHENS,BCN,28/05/2023,LIS,LISBON,Portugal,28/05/2023,20:57,7,LIS,VY,8466,2023-05-28T22:50:00,2023-05-29T13:20:00,PT16H30M,1
7,823.11,ATH,ATHENS,BCN,28/05/2023,LIS,LISBON,Portugal,28/05/2023,20:57,7,LIS,VY,8462,2023-05-28T22:50:00,2023-05-29T20:20:00,PT23H30M,1
1,173.29,ATH,ATHENS,SKG,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,A3,550,2023-05-28T23:05:00,2023-05-29T07:55:00,PT9H50M,1
3,385.11,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,IB,5461,2023-05-28T22:50:00,2023-05-29T23:35:00,PT25H45M,1
4,385.67,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,IB,5459,2023-05-28T22:50:00,2023-05-29T09:10:00,PT11H20M,1
5,392.11,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,IB,5470,2023-05-28T22:50:00,2023-05-29T18:25:00,PT20H35M,1
6,392.11,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,IB,5057,2023-05-28T22:50:00,2023-05-29T20:50:00,PT23H,1
7,413.67,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,IB,5466,2023-05-28T22:50:00,2023-05-29T11:35:00,PT13H45M,1
8,420.11,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,IB,5463,2023-05-28T22:50:00,2023-05-29T15:35:00,PT17H45M,1
9,615.49,ATH,ATHENS,IST,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,TK,1861,2023-05-28T21:05:00,2023-05-29T09:30:00,PT13H25M,1
10,615.49,ATH,ATHENS,IST,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,TK,1865,2023-05-28T21:05:00,2023-05-29T14:30:00,PT18H25M,1
11,615.49,ATH,ATHENS,IST,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,TK,1863,2023-05-28T21:05:00,2023-05-29T18:45:00,PT22H40M,1
12,615.49,ATH,ATHENS,IST,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,TK,1361,2023-05-28T21:05:00,2023-05-29T23:20:00,PT27H15M,1
13,821.11,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,VY,6102,2023-05-28T22:50:00,2023-05-29T23:35:00,PT25H45M,1
14,821.67,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,VY,6100,2023-05-28T22:50:00,2023-05-29T09:10:00,PT11H20M,1
15,828.11,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,VY,6112,2023-05-28T22:50:00,2023-05-29T18:25:00,PT20H35M,1
16,828.11,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,VY,6106,2023-05-28T22:50:00,2023-05-29T20:50:00,PT23H,1
17,839.67,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,VY,6108,2023-05-28T22:50:00,2023-05-29T11:35:00,PT13H45M,1
18,846.11,ATH,ATHENS,BCN,28/05/2023,ROM,ROME,Italy,28/05/2023,20:57,18,FCO,VY,6104,2023-05-28T22:50:00,2023-05-29T15:35:00,PT17H45M,1
1,201.29,ATH,ATHENS,SKG,28/05/2023,BCN,BARCELONA,Spain,28/05/2023,20:57,7,BCN,A3,560,2023-05-28T23:05:00,2023-05-29T14:10:00,PT16H5M,1
